ref_name	cell_name	pin_name	x	y	bucket50	line_no	point_index
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_b_ex_o_reg[7]	RSTB	160.296	222.16	150-200,200-250	63	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_b_ex_o_reg[7]	RSTB	160.296	222.1645	150-200,200-250	63	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_b_ex_o_reg[7]	RSTB	160.296	222.1622	150-200,200-250	63	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_b_ex_o_reg[8]	RSTB	159.688	225.504	150-200,200-250	64	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_b_ex_o_reg[8]	RSTB	159.688	225.5085	150-200,200-250	64	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_b_ex_o_reg[8]	RSTB	159.688	225.5062	150-200,200-250	64	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_c_ex_o_reg[18]	RSTB	59.672	299.072	050-100,250-300	65	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_c_ex_o_reg[18]	RSTB	59.672	299.0765	050-100,250-300	65	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_c_ex_o_reg[18]	RSTB	59.672	299.0742	050-100,250-300	65	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_c_ex_o_reg[28]	Q	80.344	301.504	050-100,300-350	66	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_c_ex_o_reg[10]	SE	80.344	305.2705	050-100,300-350	67	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_c_ex_o_reg[10]	SE	80.344	305.304	050-100,300-350	67	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_c_ex_o_reg[10]	SE	80.344	305.2872	050-100,300-350	67	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_c_ex_o_reg[15]	SE	59.672	305.2705	050-100,300-350	68	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_c_ex_o_reg[15]	SE	59.672	305.304	050-100,300-350	68	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/alu_operand_c_ex_o_reg[15]	SE	59.672	305.2872	050-100,300-350	68	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mcause_q_reg[4]	RSTB	259.552	58.304	250-300,050-100	69	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mcause_q_reg[4]	RSTB	259.552	58.3085	250-300,050-100	69	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mcause_q_reg[4]	RSTB	259.552	58.3062	250-300,050-100	69	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mcause_q_reg[2]	RSTB	259.552	55.2595	250-300,050-100	70	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mcause_q_reg[2]	RSTB	259.552	55.264	250-300,050-100	70	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mcause_q_reg[2]	RSTB	259.552	55.2617	250-300,050-100	70	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/depc_q_reg[11]	RSTB	259.704	85.056	250-300,050-100	71	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/depc_q_reg[11]	RSTB	259.704	85.0605	250-300,050-100	71	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/depc_q_reg[11]	RSTB	259.704	85.0582	250-300,050-100	71	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/depc_q_reg[10]	Q	260.312	87.488	250-300,050-100	72	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/depc_q_reg[8]	Q	260.312	96.304	250-300,050-100	73	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/dcsr_q_reg[stepie]	RSTB	260.312	45.2275	250-300,000-050	74	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/dcsr_q_reg[stepie]	RSTB	260.312	45.232	250-300,000-050	74	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/dcsr_q_reg[stepie]	RSTB	260.312	45.2297	250-300,000-050	74	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mscratch_q_reg[26]	RSTB	259.552	28.208	250-300,000-050	75	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mscratch_q_reg[26]	RSTB	259.552	28.2125	250-300,000-050	75	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mscratch_q_reg[26]	RSTB	259.552	28.2102	250-300,000-050	75	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mscratch_q_reg[25]	RSTB	259.552	21.8195	250-300,000-050	76	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mscratch_q_reg[25]	RSTB	259.552	21.824	250-300,000-050	76	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mscratch_q_reg[25]	RSTB	259.552	21.8217	250-300,000-050	76	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mscratch_q_reg[24]	RSTB	259.552	24.864	250-300,000-050	77	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mscratch_q_reg[24]	RSTB	259.552	24.8685	250-300,000-050	77	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mscratch_q_reg[24]	RSTB	259.552	24.8662	250-300,000-050	77	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mscratch_q_reg[7]	Q	260.312	37.328	250-300,000-050	78	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mscratch_q_reg[4]	SE	259.704	42.344	250-300,000-050	79	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mscratch_q_reg[4]	SE	259.704	42.3775	250-300,000-050	79	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mscratch_q_reg[4]	SE	259.704	42.3607	250-300,000-050	79	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][32]	Q	260.312	186.592	250-300,150-200	80	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][44]	SE	259.704	188.2305	250-300,150-200	81	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][44]	SE	259.704	188.264	250-300,150-200	81	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][44]	SE	259.704	188.2472	250-300,150-200	81	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][1]	SE	299.68	198.2625	250-300,150-200	82	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][1]	SE	299.68	198.296	250-300,150-200	82	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][1]	SE	299.68	198.2792	250-300,150-200	82	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][4]	Q	300.288	223.376	300-350,200-250	83	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][6]	SI	299.68	220.2985	250-300,200-250	84	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][6]	SI	299.68	220.336	250-300,200-250	84	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][6]	SI	299.68	220.3172	250-300,200-250	84	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][6]	CLK	300.288	220.468	300-350,200-250	85	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][6]	CLK	300.288	220.488	300-350,200-250	85	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][6]	CLK	300.288	220.478	300-350,200-250	85	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][61]	QN	299.68	139.928	250-300,100-150	86	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][4]	RSTB	300.288	235.536	300-350,200-250	87	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][4]	RSTB	300.288	235.5405	300-350,200-250	87	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][4]	RSTB	300.288	235.5382	300-350,200-250	87	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][5]	CLK	299.68	240.532	250-300,200-250	88	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][5]	CLK	299.68	240.552	250-300,200-250	88	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][5]	CLK	299.68	240.542	250-300,200-250	88	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][6]	RSTB	299.528	242.5235	250-300,200-250	89	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][6]	RSTB	299.528	242.528	250-300,200-250	89	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][6]	RSTB	299.528	242.5257	250-300,200-250	89	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][16]	SE	300.288	179.448	300-350,150-200	90	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][16]	SE	300.288	179.4815	300-350,150-200	90	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][16]	SE	300.288	179.4647	300-350,150-200	90	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][22]	SE	300.288	154.7905	300-350,150-200	91	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][22]	SE	300.288	154.824	300-350,150-200	91	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[2][22]	SE	300.288	154.8072	300-350,150-200	91	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[3][54]	CLK	239.64	150.568	200-250,150-200	92	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[3][54]	CLK	239.64	150.578	200-250,150-200	92	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[3][57]	CLK	240.4	143.88	200-250,100-150	93	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[3][57]	CLK	240.4	143.89	200-250,100-150	93	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[3][26]	RSTB	260.464	195.7075	250-300,150-200	94	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[3][26]	RSTB	260.464	195.712	250-300,150-200	94	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[3][26]	RSTB	260.464	195.7097	250-300,150-200	94	3
SDFFARX1_RVT	u_core/core_i/cs_registers_i/depc_q_reg[9]	RSTB	259.704	95.088	250-300,050-100	95	1
SDFFARX1_RVT	u_core/core_i/cs_registers_i/depc_q_reg[9]	RSTB	259.704	95.0925	250-300,050-100	95	2
SDFFARX1_RVT	u_core/core_i/cs_registers_i/depc_q_reg[9]	RSTB	259.704	95.0902	250-300,050-100	95	3
MUX41X1_HVT	u_core/core_i/U1662	A1	100.408	279.312	100-150,250-300	96	1
MUX41X1_HVT	u_core/core_i/U1787	A1	100.408	285.696	100-150,250-300	97	1
MUX41X1_HVT	u_core/core_i/U1789	S1	99.648	279.0065	050-100,250-300	98	1
MUX41X1_HVT	u_core/core_i/U1789	S1	99.648	279.008	050-100,250-300	98	2
MUX41X1_HVT	u_core/core_i/U1789	S1	99.648	279.0072	050-100,250-300	98	3
MUX41X1_HVT	u_core/core_i/U1876	A1	99.648	272.624	050-100,250-300	99	1
MUX41X1_HVT	u_core/core_i/U5425	S0	40.368	300.7365	000-050,300-350	100	1
MUX41X1_HVT	u_core/core_i/U5425	S0	40.368	300.744	000-050,300-350	100	2
MUX41X1_HVT	u_core/core_i/U5425	S0	40.368	300.7402	000-050,300-350	100	3
MUX41X1_HVT	u_core/core_i/U5428	S0	40.368	304.392	000-050,300-350	101	1
MUX41X1_HVT	u_core/core_i/U5428	S0	40.368	304.3995	000-050,300-350	101	2
MUX41X1_HVT	u_core/core_i/U5428	S0	40.368	304.3957	000-050,300-350	101	3
MUX41X1_HVT	u_core/core_i/U5436	S0	39.608	304.0805	000-050,300-350	102	1
MUX41X1_HVT	u_core/core_i/U5436	S0	39.608	304.088	000-050,300-350	102	2
MUX41X1_HVT	u_core/core_i/U5436	S0	39.608	304.0842	000-050,300-350	102	3
MUX41X1_HVT	u_core/core_i/U5445	S0	39.608	297.704	000-050,250-300	103	1
MUX41X1_HVT	u_core/core_i/U5445	S0	39.608	297.7115	000-050,250-300	103	2
MUX41X1_HVT	u_core/core_i/U5445	S0	39.608	297.7077	000-050,250-300	103	3
MUX41X1_HVT	u_core/core_i/U5417	S0	40.368	297.3925	000-050,250-300	104	1
MUX41X1_HVT	u_core/core_i/U5417	S0	40.368	297.4	000-050,250-300	104	2
MUX41X1_HVT	u_core/core_i/U5417	S0	40.368	297.3962	000-050,250-300	104	3
SDFFARX1_RVT	u_core/core_i/ex_stage_i/alu_i/alu_div_i/BReg_DP_reg[21]	CLK	239.64	277.64	200-250,250-300	105	1
SDFFARX1_RVT	u_core/core_i/ex_stage_i/alu_i/alu_div_i/BReg_DP_reg[21]	CLK	239.64	277.65	200-250,250-300	105	2
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/state_q_reg	RSTB	299.528	95.3875	250-300,050-100	106	1
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/state_q_reg	RSTB	299.528	95.392	250-300,050-100	106	2
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/state_q_reg	RSTB	299.528	95.3897	250-300,050-100	106	3
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/flush_cnt_q_reg[1]	Q	299.68	126.4	250-300,100-150	107	1
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/fifo_i/mem_q_reg[1][2]	RSTB	259.704	292.6835	250-300,250-300	108	1
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/fifo_i/mem_q_reg[1][2]	RSTB	259.704	292.688	250-300,250-300	108	2
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/fifo_i/mem_q_reg[1][2]	RSTB	259.704	292.6857	250-300,250-300	108	3
SDFFARX1_RVT	u_core/core_i/if_stage_i/instr_rdata_id_o_reg[3]	RSTB	259.552	252.256	250-300,250-300	109	1
SDFFARX1_RVT	u_core/core_i/if_stage_i/instr_rdata_id_o_reg[3]	RSTB	259.552	252.2605	250-300,250-300	109	2
SDFFARX1_RVT	u_core/core_i/if_stage_i/instr_rdata_id_o_reg[3]	RSTB	259.552	252.2582	250-300,250-300	109	3
SDFFARX1_RVT	u_core/core_i/if_stage_i/instr_rdata_id_o_reg[17]	RSTB	259.552	245.8675	250-300,200-250	110	1
SDFFARX1_RVT	u_core/core_i/if_stage_i/instr_rdata_id_o_reg[17]	RSTB	259.552	245.872	250-300,200-250	110	2
SDFFARX1_RVT	u_core/core_i/if_stage_i/instr_rdata_id_o_reg[17]	RSTB	259.552	245.8697	250-300,200-250	110	3
SDFFARX1_RVT	u_core/core_i/if_stage_i/instr_rdata_id_o_reg[14]	QN	259.704	236.904	250-300,200-250	111	1
SDFFARX1_RVT	u_core/core_i/if_stage_i/instr_rdata_id_o_reg[16]	QN	259.704	237.816	250-300,200-250	112	1
SDFFARX1_RVT	u_core/core_i/if_stage_i/instr_rdata_id_o_reg[9]	RSTB	259.552	252.5555	250-300,250-300	113	1
SDFFARX1_RVT	u_core/core_i/if_stage_i/instr_rdata_id_o_reg[9]	RSTB	259.552	252.56	250-300,250-300	113	2
SDFFARX1_RVT	u_core/core_i/if_stage_i/instr_rdata_id_o_reg[9]	RSTB	259.552	252.5577	250-300,250-300	113	3
SDFFARX1_RVT	u_core/core_i/if_stage_i/instr_rdata_id_o_reg[10]	RSTB	260.464	248.912	250-300,200-250	114	1
SDFFARX1_RVT	u_core/core_i/if_stage_i/instr_rdata_id_o_reg[10]	RSTB	260.464	248.9165	250-300,200-250	114	2
SDFFARX1_RVT	u_core/core_i/if_stage_i/instr_rdata_id_o_reg[10]	RSTB	260.464	248.9142	250-300,200-250	114	3
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[2]	SI	299.68	103.2585	250-300,100-150	115	1
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[2]	SI	299.68	103.296	250-300,100-150	115	2
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[2]	SI	299.68	103.2772	250-300,100-150	115	3
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[2]	CLK	300.288	103.428	300-350,100-150	116	1
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[2]	CLK	300.288	103.448	300-350,100-150	116	2
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[2]	CLK	300.288	103.438	300-350,100-150	116	3
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[8]	Q	299.68	69.552	250-300,050-100	117	1
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[10]	Q	300.288	44.016	300-350,000-050	118	1
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[11]	SE	299.68	37.7505	250-300,000-050	119	1
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[11]	SE	299.68	37.784	250-300,000-050	119	2
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[11]	SE	299.68	37.7672	250-300,000-050	119	3
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/instruction_obi_i/gen_no_trans_stable.obi_addr_q_reg[12]	SE	300.288	32.312	300-350,000-050	120	1
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/instruction_obi_i/gen_no_trans_stable.obi_addr_q_reg[12]	SE	300.288	32.3455	300-350,000-050	120	2
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/instruction_obi_i/gen_no_trans_stable.obi_addr_q_reg[12]	SE	300.288	32.3287	300-350,000-050	120	3
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/instruction_obi_i/gen_no_trans_stable.obi_addr_q_reg[14]	Q	299.68	23.952	250-300,000-050	121	1
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/instruction_obi_i/gen_no_trans_stable.obi_addr_q_reg[15]	SE	300.288	25.624	300-350,000-050	122	1
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/instruction_obi_i/gen_no_trans_stable.obi_addr_q_reg[15]	SE	300.288	25.6575	300-350,000-050	122	2
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/instruction_obi_i/gen_no_trans_stable.obi_addr_q_reg[15]	SE	300.288	25.6407	300-350,000-050	122	3
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[28]	SI	299.68	73.808	250-300,050-100	123	1
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[28]	SI	299.68	73.8455	250-300,050-100	123	2
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[28]	SI	299.68	73.8267	250-300,050-100	123	3
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[28]	CLK	300.288	73.656	300-350,050-100	124	1
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[28]	CLK	300.288	73.676	300-350,050-100	124	2
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[28]	CLK	300.288	73.666	300-350,050-100	124	3
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[30]	SE	300.288	85.816	300-350,050-100	125	1
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[30]	SE	300.288	85.8495	300-350,050-100	125	2
SDFFARX1_RVT	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[30]	SE	300.288	85.8327	300-350,050-100	125	3
